risn;XX_PE_listview_title_PE0100;AA425;TITREG;A0335;Dokumententyp;A0403;A0410;A0412;ISBN;Zeitschrift/Zeitung;DOI;Band;Nummer;Datum;Seiten von–bis
96;Otto-Peters, Louise;1883;Kleinstaatliches;;Buch (Monographie);2. Ausg;Norden [u.a.];Fischer;;;;Bd. 1;;;
97;Otto-Peters, Louise;1883;Deutscher Bruderkrieg;;Buch (Monographie);2. Ausg;Norden [u.a.];Fischer;;;;Bd. 3;;;
98;Otto-Peters, Louise;1883;Alldeutschland;;Buch (Monographie);2. Ausg;Norden [u.a.];Fischer;;;;Bd. 4;;;
99;Otto-Peters, Louise;1872;Verbrüderungsfeste;;Buch (Monographie);;Bremen;;;;;Bd. 2;;;
100;Otto-Peters, Louise;1872;Kleinstaatliches;;Buch (Monographie);;Bremen;;;;;Bd. 1;;;
101;Otto-Peters, Louise;1872;Deutscher Bruderkrieg;;Buch (Monographie);;Bremen;;;;;Bd. 3;;;
102;Otto-Peters, Louise;1872-;Deutsche Wunden;Zeitroman (1864-1871);Unklarer Dokumententyp;;;;;;;;;;
103;Otto-Peters, Louise;1872;Alldeutschland;;Buch (Monographie);;Bremen;;;;;Bd. 4;;;
104;Orzeszkowa, Eliza;1887;Ein Frauenschicksal;Socialer Zeitroman;Schriften eines Autors;;Dresden;Verlag von Heinrich Minden;;;;;;;
105;Ortmann, Reinhold;1904;Wer wird siegen?;Zeit-Roman von Reinhold Ortmann;Unklarer Dokumententyp;;;;;;;;;;
106;Ortmann, Reinhold;1904;"Wer wird siegen? ; Zeit-Roman von Reinhold Ortmann";;Buch (Monographie);;Mannheim;Bensheimer;;;;"Zeit-Roman von Reinhold Ortmann ; Bd. 1";;;
107;Ortmann, Reinhold;1904;"Wer wird siegen? ; Zeit-Roman von Reinhold Ortmann";;Buch (Monographie);;Mannheim;Bensheimer;;;;"Zeit-Roman von Reinhold Ortmann ; Bd. 2";;;
108;Orlovski-Golovin, R.;1898;Die Nihilistin;;Schriften eines Autors;;Stuttgart;;;;;25;;;
109;Orlovski-Golovin, R.;1898;Die Nihilistin;;Schriften eines Autors;;Stuttgart;;;;;26;;;
110;Orlovski-Golovin, R.;;Die Nihilistin;Zeitroman : Autor. Uebers;Unklarer Dokumententyp;;;;;;;;;;
111;Oedemann, Georg Artur;-1938;Eine Straße geht durchs Land;Zeit-Roman;Buch (Monographie);;Berlin;Klieber;;;;;;;
112;Muwail??, Mu?ammad al;1911-1912;?ad?? ?Is? Ibn-Hiš?m au fatra min az-zaman;;Buch (Monographie);;al-Q?hira (Mi?r);Mu?ammad Sa??d ar-R?fi??;;;;;;;
113;Muwail??, Mu?ammad al;1324 h./1907;?ad?? ?Is? Ibn-Hiš?m au fatra min az-zaman;;Buch (Monographie);;Ma?r;al-Ma??rif;;;;;;;
114;Molo, Walter;1915;Lebenswende;Ein Zeitroman von Walter v. Molo;Buch (Monographie);;Berlin;Kronen-Verl.;;;;[Bd 20]);;;
115;Mohr, Mary L. F.;1907;Zuchthaus;"Erziehung einer schönen Seele ; Zeitroman";Buch (Monographie);;Leipzig;Moderner Dresdner Verl., Stoll;;;;;;;
116;Mohr, Marie L. F.;1892;Nirwâna;Zeitroman von Marie L. F. Mohr;Buch (Monographie);Neue autor. Ausg;Chemnitz;Richter;;;;;;;
117;Mevert, Ernst;1864-;Die neuen Nibelungen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
118;Mevert, Ernst;1864;Die neuen Nibelungen;;Buch (Monographie);;Hamburg;;;;;Bd. 1;;;
119;Mevert, Ernst;1864;Die neuen Nibelungen;;Buch (Monographie);;Hamburg;;;;;Bd. 2;;;
120;Mevert, Ernst;1864;Die neuen Nibelungen;;Buch (Monographie);;Hamburg;;;;;Bd. 3;;;
121;Mevert, Ernst;1864;Die neuen Nibelungen;;Buch (Monographie);;Hamburg;;;;;Bd. 4;;;
122;Merckling, Charles;1929;Grenzland-Teufel;Ein polit.-satir. Zeitroman;Buch (Monographie);;Strassburg;Hauss;;;;;;;
123;Meisels, Samuel;1903;Der Talmud als Betrüger;Zeitroman;Buch (Monographie);;Berlin;S. Cronbach;;;;;;;
124;Meding, Oskar;ca. 1912;Um Zepter und Kronen;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg., 27. - 31 Tsd;Berlin;Globus-Verl.;;;;;;;
125;Meding, Oskar;1911;Zwei Kaiserkronen;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus-Verl.;;;;;;;
126;Meding, Oskar;1911;Zwei Kaiserkronen;Zeitroman von Gregor Samarow [d.i. Oskar  Meding]. (3. Folge von ’Um Zepter und Kronen’);Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus Verl.;;;;;;;
127;Meding, Oskar;1911;Um Zepter und Kronen;Zeitroman;Buch (Monographie);Ungekürzte Ausg;Berlin;Globus Verl.;;;;;;;
128;Meding, Oskar;1911;Um Zepter und Kronen;Zeitroman von Gregor Samarow [d.i. Oskar  Meding];Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus Verl.;;;;;;;
129;Meding, Oskar;1911;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. [1];;;
130;Meding, Oskar;1911;Um Szepter und Kronen;;Buch (Monographie);Neue ungekürzte Ausg;Stuttgart;Hallberger;;;;Bd. [1];;;
131;Meding, Oskar;1911;Um Szepter und Kronen;;Buch (Monographie);Neue ungekürzte Ausg;Stuttgart;Hallberger;;;;Bd. 3;;;
132;Meding, Oskar;1911;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 5;;;
133;Meding, Oskar;1911;Kreuz und Schwert;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus-Verl.;;;;;;;
134;Meding, Oskar;1911;Held und Kaiser;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus-Verl.;;;;;;;
135;Meding, Oskar;1911;Gipfel und Abgrund;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus-Verl.;;;;;;;
136;Meding, Oskar;1911;Europäische Minen und Gegenminen;Zeitroman;Buch (Monographie);Neue, ungekürzte Ausg;Berlin;Globus-Verl.;;;;;;;
137;Meding, Oskar;1906;Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;"Aus: Um Zepter und Kronen, Dreizehntes Kapitel ; Zeitroman";Buch (Monographie);;Langensalza;Wendt & Klauwell;;;;16;;;
138;Meding, Oskar;1906;Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;"Aus: Um Zepter und Kronen, Dreizehntes Kapitel ; Zeitroman";Buch (Monographie);;Langensalza;Wendt & Klauwell;;;;16;;;
139;Meding, Oskar;1905;Die Schlacht bei Langensalza;"Aus: Um Zepter und Kronen,  Vierzehntes Kapitel ; Zeitroman";Buch (Monographie);;Langensalza;Wendt & Klauwell;;;;17;;;
140;Meding, Oskar;1905;Die Schlacht bei Langensalza;"Aus: Um Zepter und Kronen,  Vierzehntes Kapitel ; Zeitroman";Buch (Monographie);;Langensalza;Wendt & Klauwell;;;;17;;;
141;Meding, Oskar;1897;Krieg oder Frieden?;Zeitroman;Schriften eines Autors;;Stuttgart;Süddeutsches Verl.-Inst;;;;;;;
142;Meding, Oskar;1888;Gipfel und Abgrund;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
143;Meding, Oskar;1888;Gipfel und Abgrund;;Buch (Monographie);;Stuttgart;Deutsche Verlags-Anstalt;;;;Bd. 1;;;
144;Meding, Oskar;1888;Gipfel und Abgrund;;Buch (Monographie);;Stuttgart;Deutsche Verlags-Anstalt;;;;Bd. 2;;;
145;Meding, Oskar;1888;Gipfel und Abgrund;;Buch (Monographie);;Stuttgart;Deutsche Verlags-Anstalt;;;;Bd. 3;;;
146;Meding, Oskar;1888;Gipfel und Abgrund;;Buch (Monographie);;Stuttgart;Deutsche Verlags-Anstalt;;;;Bd. 4;;;
147;Meding, Oskar;1887;Eine Römerfahrt der Epigonen. Zeit-Roman/ von Oskar Meding [d.i.  Gregor Samarow];;Buch (Monographie);4. Aufl.;Berlin;;;;;;;;
148;Meding, Oskar;1876;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 1;;;
149;Meding, Oskar;1876;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 2;;;
150;Meding, Oskar;1876;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 3;;;
151;Meding, Oskar;1876;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 4;;;
152;Meding, Oskar;1876;Des Cäsars Ende;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
153;Meding, Oskar;1876;Des Cäsars Ende;;Buch (Monographie);;Berlin;Janke;;;;Bd. 1;;;
154;Meding, Oskar;1876;Des Cäsars Ende;;Buch (Monographie);;Berlin;Janke;;;;Bd. 2;;;
155;Meding, Oskar;1875;Zwei Kaiserkronen;"Dritte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Unklarer Dokumententyp;;;;;;;;;;
156;Meding, Oskar;1875;Zwei Kaiserkronen;;Buch (Monographie);;Stuttgart;Druck und Verlag von Eduard Hallberger;;;;Bd. 1;;;
157;Meding, Oskar;1875;Zwei Kaiserkronen;;Buch (Monographie);;Stuttgart;Druck und Verlag von Eduard Hallberger;;;;Bd. 2;;;
158;Meding, Oskar;1875;Zwei Kaiserkronen;;Buch (Monographie);;Stuttgart;Druck und Verlag von Eduard Hallberger;;;;Bd. 3;;;
159;Meding, Oskar;1875;Zwei Kaiserkronen;;Buch (Monographie);;Stuttgart;Druck und Verlag von Eduard Hallberger;;;;Bd. 4;;;
160;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;1;;;
161;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 1;;;
162;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 1;;;
163;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;2;;;
164;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 2;;;
165;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 2;;;
166;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;3;;;
167;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 3;;;
168;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 3;;;
169;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;4;;;
170;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 4;;;
171;Meding, Oskar;1875;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 4;;;
172;Meding, Oskar;1875;Kreuz und Schwert;"Vierte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Unklarer Dokumententyp;;;;;;;;;;
173;Meding, Oskar;1875;Kreuz und Schwert;;Buch (Monographie);;Stuttgart;;;;;Band 1;;;
174;Meding, Oskar;1875;Kreuz und Schwert;;Buch (Monographie);;Stuttgart;;;;;Band 2;;;
175;Meding, Oskar;1875;Kreuz und Schwert;;Buch (Monographie);;Stuttgart;;;;;Band 3;;;
176;Meding, Oskar;1875;Kreuz und Schwert;;Buch (Monographie);;Stuttgart;;;;;Band 4;;;
177;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 1;;;
178;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 1;;;
179;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);Wohlfeile Ausg;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 1;;;
180;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);Wohlfeile Ausg;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 2;;;
181;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);Wohlfeile Ausg;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 3;;;
182;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);4. Aufl.;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 3;;;
183;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);Wohlfeile Ausg;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 4;;;
